,NOC,Name,Year,Sport,Medal
173082,GBR,Richard Owen Alfred Norris,1952,Hockey,Bronze
173095,USA,Lowell Orton North,1964,Sailing,Bronze
173096,USA,Lowell Orton North,1968,Sailing,Gold
173097,AUS,"William Herbert ""Bill"" Northam",1964,Sailing,Gold
173102,NOR,"Petter Northug, Jr.",2010,Cross Country Skiing,Bronze
173104,NOR,"Petter Northug, Jr.",2010,Cross Country Skiing,Gold
173106,NOR,"Petter Northug, Jr.",2010,Cross Country Skiing,Silver
173107,NOR,"Petter Northug, Jr.",2010,Cross Country Skiing,Gold
173113,USA,"Douglas Dale ""Doug"" Northway",1972,Swimming,Bronze
173114,USA,"Douglas Dale ""Doug"" Northway",1976,Swimming,Gold
173121,GBR,"Daniel James ""Dan"" Norton",2016,Rugby Sevens,Silver
173124,GBR,Edward Felix Norton,1924,Alpinism,Gold
173125,USA,Emerson Carlysle Norton,1924,Athletics,Silver
173128,USA,John Kelley Norton,1920,Athletics,Silver
173129,USA,John Dominic Norton,1924,Water Polo,Bronze
173134,RSA,"Piet ""Pietie"" Norval",1992,Tennis,Silver
173148,FRA,Guy Fernand Nosbaum,1960,Rowing,Silver
173150,JPN,Seiki Nose,1984,Judo,Bronze
173159,HUN,Ern Nosk,1968,Football,Gold
173162,RUS,Luiza Nikolayevna Noskova (Cherepanova-),1994,Biathlon,Gold
173166,RUS,Dmitry Yuryevich Nosov,2004,Judo,Bronze
173173,EGY,El-Sayed Mohamed Nosseir,1928,Weightlifting,Gold
173187,ITA,Giuliano Nostini,1948,Fencing,Silver
173189,ITA,Renzo Nostini,1948,Fencing,Silver
173190,ITA,Renzo Nostini,1948,Fencing,Silver
173191,ITA,Renzo Nostini,1952,Fencing,Silver
173193,ITA,Renzo Nostini,1952,Fencing,Silver
173203,USA,Keith Ireland Notary,1992,Sailing,Silver
173206,GDR,Anke Nothnagel-von Seck,1988,Canoeing,Gold
173207,GDR,Anke Nothnagel-von Seck,1988,Canoeing,Gold
173208,GER,Anke Nothnagel-von Seck,1992,Canoeing,Gold
173209,GER,Anke Nothnagel-von Seck,1992,Canoeing,Silver
173210,USA,"Martin Wayne ""Marty"" Nothstein",1996,Cycling,Silver
173211,USA,"Martin Wayne ""Marty"" Nothstein",2000,Cycling,Gold
173237,USA,Tara Lee Nott-Cunningham,2000,Weightlifting,Gold
173252,NED,"Petrus Wilhelmus Frederikus ""Peter"" Nottet",1968,Speed Skating,Bronze
173300,HUN,Dezs Novk,1960,Football,Bronze
173301,HUN,Dezs Novk,1964,Football,Gold
173302,HUN,Dezs Novk,1968,Football,Gold
173303,TCH,Eduard Novk,1972,Ice Hockey,Bronze
173304,TCH,Eduard Novk,1976,Ice Hockey,Silver
173306,HUN,Ferenc Novk,2000,Canoeing,Gold
173308,HUN,Gbor Novk,1952,Canoeing,Silver
173309,URS,Grigory Irmovich Novak,1952,Weightlifting,Silver
173313,HUN,Ilona Novk (-Popper),1952,Swimming,Gold
173322,TCH,Ji Novk,1976,Ice Hockey,Silver
173374,HUN,Norbert Nvnyi (Nottny),1980,Wrestling,Gold
173379,SUI,Louis Noverraz,1968,Sailing,Silver
173384,URS,Voldemaras Novickis,1980,Handball,Silver
173385,URS,Voldemaras Novickis,1988,Handball,Gold
173390,URS,Anatoliy Terentiyovych Novikov,1972,Judo,Bronze
173397,URS,Igor Novikov,1956,Modern Pentathlon,Gold
173399,URS,Igor Novikov,1960,Modern Pentathlon,Silver
173400,URS,Igor Novikov,1964,Modern Pentathlon,Silver
173401,URS,Igor Novikov,1964,Modern Pentathlon,Gold
173411,BLR,Sergey Valentinovich Novikov,2010,Biathlon,Silver
173426,URS,Serhiy Petrovych Novikov,1976,Judo,Gold
173430,URS,Vladimir Anatolyevich Novikov,1988,Gymnastics,Gold
173437,URS,Vladimir Dmitriyevich Novikov,1960,Water Polo,Silver
173442,BLR,Anastasiya Aleksandrovna Novikova,2008,Weightlifting,Bronze
173447,URS,Yelena Dmitriyevna Novikova-Belova,1968,Fencing,Gold
173448,URS,Yelena Dmitriyevna Novikova-Belova,1968,Fencing,Gold
173450,URS,Yelena Dmitriyevna Novikova-Belova,1972,Fencing,Gold
173451,URS,Yelena Dmitriyevna Novikova-Belova,1976,Fencing,Bronze
173452,URS,Yelena Dmitriyevna Novikova-Belova,1976,Fencing,Gold
173454,URS,Yelena Dmitriyevna Novikova-Belova,1980,Fencing,Silver
173466,RUS,Olga Nikolayevna Novokshchenova,2000,Synchronized Swimming,Gold
173467,RUS,Olga Nikolayevna Novokshchenova,2004,Synchronized Swimming,Gold
173483,TCH,Jana Novotn,1988,Tennis,Silver
173486,CZE,Jana Novotn,1996,Tennis,Bronze
173487,CZE,Jana Novotn,1996,Tennis,Silver
173524,URS,Viktor Vladimirovich Novozhilov,1976,Wrestling,Silver
173535,TCH,Milan Nov,1976,Ice Hockey,Silver
173539,TCH,Richard Nov,1964,Rowing,Bronze
173541,POL,Oktawia Nowacka,2016,Modern Pentathlon,Bronze
173544,FRA,Ccile Nowak (-Grasso),1992,Judo,Gold
173547,POL,Grzegorz Nowak,1980,Rowing,Bronze
173556,FRA,Michel Nowak,1984,Judo,Bronze
173557,POL,Mieczysaw Nowak,1964,Weightlifting,Bronze
173566,ITA,Riccardo Nowak,1908,Fencing,Silver
173585,POL,Danuta Krystyna Nowak-Stachow (-Wroska),1956,Gymnastics,Bronze
173611,GDR,Richard Nowakowski,1976,Boxing,Silver
173612,GDR,Richard Nowakowski,1980,Boxing,Bronze
173634,POL,Joanna Nowicka-Kwana,1996,Archery,Bronze
173645,POL,Mieczysaw Pawe Nowicki,1976,Cycling,Bronze
173646,POL,Mieczysaw Pawe Nowicki,1976,Cycling,Silver
173647,POL,Wojciech Nowicki,2016,Athletics,Bronze
173650,GER,Georg Nowka,1952,Sailing,Bronze
173667,BEL,Andr Alfons Noyelle,1952,Cycling,Gold
173668,BEL,Andr Alfons Noyelle,1952,Cycling,Gold
173672,GEO,Ramaz Nozadze,2004,Wrestling,Silver
173690,DEN,Jesper Nddesbo,2016,Handball,Gold
173701,DEN,Louise Bager Bager Nrgaard (-Due),2004,Handball,Gold
173702,DEN,Allan Nrregaard Christensen,2012,Sailing,Bronze
173706,NOR,Tonje Nstvold,2008,Handball,Gold
173707,NOR,Tonje Nstvold,2012,Handball,Gold
173770,USA,"Lawrence Adam ""Larry"" Nuesslein",1920,Shooting,Bronze
173771,USA,"Lawrence Adam ""Larry"" Nuesslein",1920,Shooting,Silver
173772,USA,"Lawrence Adam ""Larry"" Nuesslein",1920,Shooting,Gold
173773,USA,"Lawrence Adam ""Larry"" Nuesslein",1920,Shooting,Gold
173775,USA,"Lawrence Adam ""Larry"" Nuesslein",1920,Shooting,Bronze
173782,CAN,Andrea Nugent,1988,Swimming,Bronze
173788,GBR,Neil Algernon David Nugent,1952,Hockey,Bronze
173799,ITA,Mauro Numa,1984,Fencing,Gold
173800,ITA,Mauro Numa,1984,Fencing,Gold
173806,NED,"Hendrik ""Henk"" Numan",1980,Judo,Bronze
173815,FIN,Timo Petteri Nummelin,2006,Ice Hockey,Silver
173824,FIN,Teppo Kalevi Numminen,1988,Ice Hockey,Silver
173825,FIN,Teppo Kalevi Numminen,1998,Ice Hockey,Bronze
173827,FIN,Teppo Kalevi Numminen,2006,Ice Hockey,Silver
173853,CUB,Daniel Nez Aguiar,1980,Weightlifting,Gold
173866,ESP,Jordi Nuez Carretero,1996,Handball,Bronze
173867,ESP,Jordi Nuez Carretero,2000,Handball,Bronze
173885,CHI,Rodrigo Fabin Nez Ortiz,2000,Football,Bronze
173893,GBR,Anthony Stuart Nunn,1952,Hockey,Bronze
173896,AUS,"Glynis Leanne Nunn (Saunders-, -Cearns)",1984,Athletics,Gold
173897,USA,John Hamann Nunn,1968,Rowing,Bronze
173917,BUL,Norayr Aram Nurikyan,1972,Weightlifting,Gold
173918,BUL,Norayr Aram Nurikyan,1976,Weightlifting,Gold
173950,SWE,Holger Nurmela,1952,Ice Hockey,Bronze
173953,FIN,Sulo Nurmela,1936,Cross Country Skiing,Gold
173956,FIN,Tapio Juhani Nurmela,1998,Nordic Combined,Silver
173959,FIN,Paavo Johannes Nurmi,1920,Athletics,Silver
173960,FIN,Paavo Johannes Nurmi,1920,Athletics,Gold
173961,FIN,Paavo Johannes Nurmi,1920,Athletics,Gold
173962,FIN,Paavo Johannes Nurmi,1920,Athletics,Gold
173963,FIN,Paavo Johannes Nurmi,1924,Athletics,Gold
173964,FIN,Paavo Johannes Nurmi,1924,Athletics,Gold
173965,FIN,Paavo Johannes Nurmi,1924,Athletics,Gold
173966,FIN,Paavo Johannes Nurmi,1924,Athletics,Gold
173967,FIN,Paavo Johannes Nurmi,1924,Athletics,Gold
173968,FIN,Paavo Johannes Nurmi,1928,Athletics,Silver
173969,FIN,Paavo Johannes Nurmi,1928,Athletics,Gold
173970,FIN,Paavo Johannes Nurmi,1928,Athletics,Silver
173984,UZB,Ruslan Nurudinov,2016,Weightlifting,Gold
173988,EUN,Liliya Foatovna Nurutdinova,1992,Athletics,Silver
173989,EUN,Liliya Foatovna Nurutdinova,1992,Athletics,Gold
173990,GER,Theodor Nubaum,1936,Art Competitions,Bronze
174008,SUI,Markus Nssli,1998,Bobsleigh,Silver
174035,USA,Stacey Annette Nuveman (-Deniz),2000,Softball,Gold
174036,USA,Stacey Annette Nuveman (-Deniz),2004,Softball,Gold
174037,USA,Stacey Annette Nuveman (-Deniz),2008,Softball,Silver
174073,KEN,Hezekiah Munyoro Nyamau,1968,Athletics,Silver
174075,KEN,Hezekiah Munyoro Nyamau,1972,Athletics,Gold
174078,MGL,Nyambayaryn Tgstsogt,2012,Boxing,Silver
174081,TAN,Suleiman Nyambui,1980,Athletics,Silver
174106,HUN,"Magdolna ""Magda"" Nyri-Kovcs",1960,Fencing,Silver
174108,GHA,"Alexander ""Alex"" Nyarko",1992,Football,Bronze
174134,SWE,Herman Andreas Nyberg,1912,Sailing,Gold
174136,SWE,Anna Katarina Nyberg,1998,Curling,Bronze
174138,NOR,Katja Johanna Alice Nyberg,2008,Handball,Gold
174152,FIN,Mauri Kalervo Nyberg-Noroma,1932,Gymnastics,Bronze
174158,FIN,Mauri Kalervo Nyberg-Noroma,1936,Gymnastics,Bronze
174171,NOR,Reidar Nyborg,1948,Cross Country Skiing,Bronze
174174,NOR,Inger Helene Nybrten,1984,Cross Country Skiing,Gold
174181,NOR,Inger Helene Nybrten,1992,Cross Country Skiing,Silver
174184,NOR,Inger Helene Nybrten,1994,Cross Country Skiing,Silver
174187,TCH,Radim Ny,1988,Cross Country Skiing,Bronze
174194,HUN,Imre Nyki,1948,Swimming,Silver
174234,USA,Tibor Andrew Nyilas,1948,Fencing,Bronze
174252,FIN,Matti Ensio Nyknen (-Paanala),1984,Ski Jumping,Silver
174253,FIN,Matti Ensio Nyknen (-Paanala),1984,Ski Jumping,Gold
174254,FIN,Matti Ensio Nyknen (-Paanala),1988,Ski Jumping,Gold
174255,FIN,Matti Ensio Nyknen (-Paanala),1988,Ski Jumping,Gold
174256,FIN,Matti Ensio Nyknen (-Paanala),1988,Ski Jumping,Gold
174303,SWE,John Emanuel Nyman,1936,Wrestling,Silver
174304,FIN,Joni Kalevi Nyman,1984,Boxing,Bronze
174332,USA,Lacey Pearl Nymeyer (-John),2008,Swimming,Silver
174333,FRA,Guy Olivier Nyokas,2016,Handball,Silver
174337,SWE,Gustav Bo Nils Nyquist,2014,Ice Hockey,Silver
174340,NOR,Dag Vaadjuv Nyqvist,1936,Sailing,Silver
174366,SWE,Bertil Alexis Nystrm,1964,Wrestling,Bronze
174373,FIN,Hjalmar Eemil Nystrm,1928,Wrestling,Silver
174375,FIN,Hjalmar Eemil Nystrm,1936,Wrestling,Bronze
174378,CAN,Karen Anne Nystrom,1998,Ice Hockey,Silver
174392,FRA,Estelle Nze Minko,2016,Handball,Silver
174406,KOR,O Eun-Seok,2012,Fencing,Gold
174411,KOR,O Gyo-Mun,1996,Archery,Bronze
174412,KOR,O Gyo-Mun,1996,Archery,Silver
174414,KOR,O Gyo-Mun,2000,Archery,Gold
174419,KOR,O Jae-Seok,2012,Football,Bronze
174422,PRK,O Jong-Ae,2008,Weightlifting,Bronze
174431,KOR,O Sang-Eun,2008,Table Tennis,Bronze
174433,KOR,O Sang-Eun,2012,Table Tennis,Silver
174435,KOR,O Se-Jong,2006,Short Track Speed Skating,Gold
174438,KOR,O Seung-Hwan,2008,Baseball,Gold
174439,KOR,O Seung-Rip,1972,Judo,Silver
174440,KOR,O Seung-Sin,1996,Hockey,Silver
174449,KOR,O Yong-Gi,1988,Handball,Silver
174455,GBR,Gary James Oakes,1980,Athletics,Bronze
174474,ROU,Ecaterina Oancia (Iane-),1984,Rowing,Gold
174475,ROU,Ecaterina Oancia (Iane-),1988,Rowing,Bronze
174476,ROU,Ecaterina Oancia (Iane-),1988,Rowing,Silver
174514,USA,"Daniel Dion ""Dan"" O'Brien",1996,Athletics,Gold
174521,USA,"Edward Thomas ""Eddie"" O'Brien",1936,Athletics,Silver
174523,AUS,Lovett Ian O'Brien,1964,Swimming,Gold
174524,AUS,Lovett Ian O'Brien,1964,Swimming,Bronze
174528,USA,"James Jay ""J. J."" O'Brien",1928,Bobsleigh,Silver
174529,USA,"James Jay ""J. J."" O'Brien",1932,Bobsleigh,Gold
174541,USA,Leonard Francis O'Brien,1932,Hockey,Bronze
174546,USA,"Michael Jon ""Mike"" O'Brien",1984,Swimming,Gold
174549,USA,"William Parry O'Brien, Jr.",1952,Athletics,Gold
174550,USA,"William Parry O'Brien, Jr.",1956,Athletics,Gold
174551,USA,"William Parry O'Brien, Jr.",1960,Athletics,Silver
174556,NZL,Shane Joseph O'Brien,1984,Rowing,Gold
174557,AUS,Shaun William O'Brien,1992,Cycling,Silver
174559,GBR,Terence Noel O'Brien,1928,Rowing,Silver
174568,USA,Leah Marie O'Brien-Amico,1996,Softball,Gold
174569,USA,Leah Marie O'Brien-Amico,2000,Softball,Gold
174570,USA,Leah Marie O'Brien-Amico,2004,Softball,Gold
174574,YUG,Slavko Obadov,1976,Judo,Bronze
174576,NGR,Abiodun Olugbemiga Obafemi,1996,Football,Gold
174578,GAB,Anthony Obame Mylann,2012,Taekwondo,Silver
174584,JPN,Hitomi Obara (Sakamoto-),2012,Wrestling,Gold
174611,CAN,Patricia Obee,2016,Rowing,Silver
174623,ITA,Norberto Oberburger,1984,Weightlifting,Gold
174638,SWE,Carl-Gran berg,1964,Ice Hockey,Silver
174642,SWE,Hans Andreas berg,1952,Ice Hockey,Bronze
174648,SWE,Sigfrid Emil berg,1928,Ice Hockey,Silver
174651,GER,Christina Obergfll,2008,Athletics,Bronze
174652,GER,Christina Obergfll,2012,Athletics,Silver
174656,SUI,August Oberhauser,1924,Football,Silver
174664,ITA,Karin Oberhofer,2014,Biathlon,Bronze
174669,GDR,Ute Oberhoffner-Wei,1984,Luge,Bronze
174670,GDR,Ute Oberhoffner-Wei,1988,Luge,Silver
174674,GBR,Henry Arthur Oberholzer,1912,Gymnastics,Bronze
174711,USA,"Eugene George ""Gene"" Oberst",1924,Athletics,Bronze
174728,ARG,Fabricio Ral Jess Oberto,2004,Basketball,Gold
174729,ARG,Fabricio Ral Jess Oberto,2008,Basketball,Bronze
174730,ITA,Giorgio Oberweger,1936,Athletics,Bronze
174739,GBR,Rupert John Obholzer,1996,Rowing,Bronze
174755,POR,Francis Obiorah Obikwelu,2004,Athletics,Silver
174759,NGR,Victor Nsofor Obinna,2008,Football,Silver
174764,KEN,Hellen Onsando Obiri,2016,Athletics,Silver
174780,AUT,Violetta Oblinger-Peters,2008,Canoeing,Bronze
174783,RUS,Aleksey Aleksandrovich Obmochayev,2012,Volleyball,Gold
174798,CRO,Paulo Obradovi,2012,Water Polo,Gold
174799,SCG,Saa Obradovi,1996,Basketball,Silver
174801,YUG,"elimir ""eljko"" Obradovi",1988,Basketball,Silver
174821,ROU,Grigore Obreja,1996,Canoeing,Bronze
174836,TCH,Jakub Obrovsk,1932,Art Competitions,Bronze
174840,FRA,Hugues Obry,2000,Fencing,Silver
174841,FRA,Hugues Obry,2000,Fencing,Silver
174843,FRA,Hugues Obry,2004,Fencing,Gold
174846,FRG,Werner Obschernikat,1984,Water Polo,Bronze
174852,GER,Michael Obst,1960,Rowing,Gold
174871,IRL,"Patrick ""Pat"" O'Callaghan",1928,Athletics,Gold
174872,IRL,"Patrick ""Pat"" O'Callaghan",1932,Athletics,Gold
174873,ESP,Xavier O'Callaghan Ferrer,2000,Handball,Bronze
174875,USA,"John J. ""Jack"" O'Callahan",1980,Ice Hockey,Gold
174883,USA,Leo Anthony O'Connell,1904,Football,Bronze
174884,NZL,"Leslie James ""Les"" O'Connell",1984,Rowing,Gold
174903,IRL,Cian O'Connor,2012,Equestrianism,Bronze
174904,USA,Colleen M. O'Connor,1976,Figure Skating,Bronze
174909,USA,David O'Connor,1996,Equestrianism,Silver
174910,USA,David O'Connor,2000,Equestrianism,Gold
174911,USA,David O'Connor,2000,Equestrianism,Bronze
174921,USA,Mary Anne O'Connor,1976,Basketball,Silver
174929,GBR,Peter O'Connor,1906,Athletics,Silver
174930,GBR,Peter O'Connor,1906,Athletics,Gold
174941,GBR,Siobhan-Marie O'Connor,2016,Swimming,Silver
174943,CAN,Susan O'Connor,2010,Curling,Silver
174947,USA,"James Wallace ""Wally"" O'Connor",1924,Water Polo,Bronze
174948,USA,"James Wallace ""Wally"" O'Connor",1924,Swimming,Gold
174950,USA,"James Wallace ""Wally"" O'Connor",1932,Water Polo,Bronze
174952,USA,William Scott O'Connor,1904,Fencing,Silver
174953,ESP,"Miguel ngel ""Miki"" Oca Gaia",1992,Water Polo,Silver
174954,ESP,"Miguel ngel ""Miki"" Oca Gaia",1996,Water Polo,Gold
174974,ITA,Diego Occhiuzzi,2008,Fencing,Bronze
174975,ITA,Diego Occhiuzzi,2012,Fencing,Silver
174976,ITA,Diego Occhiuzzi,2012,Fencing,Bronze
174979,USA,Glenn Ochal,2012,Rowing,Bronze
174986,KEN,Isabella Bosibori Ochichi,2004,Athletics,Silver
174992,RUS,Sofya Albertovna Ochigava,2012,Boxing,Silver
175019,USA,"Deborah Lynn ""Debra"" Ochs (-Asay)",1988,Archery,Bronze
175022,BEL,Jacques Martin Ochs,1912,Fencing,Gold
175028,POL,Emil Antoni Ochyra,1960,Fencing,Silver
175030,POL,Emil Antoni Ochyra,1964,Fencing,Bronze
175033,GER,Hannes Ocik,2016,Rowing,Silver
175034,AUS,"Edward ""Eddie"" Ockenden",2008,Hockey,Bronze
175035,AUS,"Edward ""Eddie"" Ockenden",2012,Hockey,Bronze
175046,USA,George Dyer O'Day,1960,Sailing,Gold
175058,AUS,Peter Joseph O'Donnell,1964,Sailing,Gold
175069,IRL,Gary O'Donovan,2016,Rowing,Silver
175070,IRL,Paul O'Donovan,2016,Rowing,Silver
175085,JPN,Mikio Oda,1928,Athletics,Gold
175092,JPN,Emiko Odaka,1984,Volleyball,Bronze
175093,GBR,Dorothy Jennifer Beatrice Odam-Tyler,1936,Athletics,Silver
175094,GBR,Dorothy Jennifer Beatrice Odam-Tyler,1948,Athletics,Silver
175101,BEL,Frank Olof Odberg,1900,Rowing,Silver
175106,ITA,P. Oddone,1906,Rowing,Bronze
175107,GER,Viola Odebrecht,2004,Football,Bronze
175116,CUB,Vicyohandri Odeln Sanam,2004,Baseball,Gold
175117,CUB,Vicyohandri Odeln Sanam,2008,Baseball,Silver
175118,NGR,Osaz Peter Odemwingie,2008,Football,Silver
175120,USA,Elaina Joyce Oden,1992,Volleyball,Bronze
175123,USA,"Kimberley Yvette ""Kim"" Oden",1992,Volleyball,Bronze
175156,TCH,Josef Odloil,1964,Athletics,Silver
175158,SWE,Ture Michael dlund,1924,Curling,Silver
175169,USA,Lamar Joseph Odom,2004,Basketball,Bronze
175194,SWE,David Johnny Oduya,2014,Ice Hockey,Silver
175204,NOR,Reidar degrd,1928,Cross Country Skiing,Bronze
175206,JPN,Sueo Oe,1936,Athletics,Bronze
175226,GER,Jrgen Oelke,1964,Rowing,Gold
175227,GER,Olga Oelkers (Caragioff-),1928,Fencing,Bronze
175238,GDR,Marlies Oelsner-Ghr,1976,Athletics,Gold
175239,GDR,Marlies Oelsner-Ghr,1980,Athletics,Silver
175240,GDR,Marlies Oelsner-Ghr,1980,Athletics,Gold
175242,GDR,Marlies Oelsner-Ghr,1988,Athletics,Silver
175243,AUS,Trent Carl Wayne Oeltjen,2004,Baseball,Silver
175245,NOR,Alexander Dale Oen,2008,Swimming,Silver
175253,USA,"Alfred Adolph ""Al"" Oerter, Jr.",1956,Athletics,Gold
175254,USA,"Alfred Adolph ""Al"" Oerter, Jr.",1960,Athletics,Gold
175255,USA,"Alfred Adolph ""Al"" Oerter, Jr.",1964,Athletics,Gold
175256,USA,"Alfred Adolph ""Al"" Oerter, Jr.",1968,Athletics,Gold
175259,SUI,Brigitte Oertli,1988,Alpine Skiing,Silver
175262,SUI,Brigitte Oertli,1988,Alpine Skiing,Silver
175270,GDR,Rolf Oesterreich,1976,Figure Skating,Silver
175285,CUB,Raisa Mirelda O'Farrill Bolanos,1996,Volleyball,Gold
175288,GBR,David Ludovic George Hopetoun Carnegie,1928,Skeleton,Bronze
175310,NED,Hendrik Karel Offerhaus,1900,Rowing,Bronze
175311,CAN,Jill Officer Hinchey,2014,Curling,Gold
175316,FRA,Raymond Ren Offner,1948,Basketball,Silver
175326,AUT,Klaus Ofner,1992,Nordic Combined,Bronze
175333,NOR,Stine Bredal Oftedal,2016,Handball,Bronze
175339,CAN,Diane Carolyn O'Grady,1996,Rowing,Bronze
175342,AUS,Stuart Peter O'Grady,1992,Cycling,Silver
175343,AUS,Stuart Peter O'Grady,1996,Cycling,Bronze
175344,AUS,Stuart Peter O'Grady,1996,Cycling,Bronze
175348,AUS,Stuart Peter O'Grady,2004,Cycling,Gold
175357,TUR,smail Oan,1960,Wrestling,Silver
175358,TUR,smail Oan,1964,Wrestling,Gold
175360,URS,Sanasar Razmikovich Oganisyan,1980,Wrestling,Gold
175364,JPN,Michihiro Ogasawara,2004,Baseball,Bronze
175387,CAN,"Carlton Susumi ""Carl"" Ogawa",1956,Rowing,Silver
175393,JPN,Naoya Ogawa,1992,Judo,Silver
175397,POL,Roman Grzegorz Ogaza,1976,Football,Silver
175398,NGR,Ruth Ogbeifo,2000,Weightlifting,Silver
175400,NGR,Chinedu Obasi Ogbuke,2008,Football,Silver
175406,JPN,Aritatsu Ogi,1968,Football,Bronze
175422,JPN,Kenji Ogiwara,1992,Nordic Combined,Gold
175424,JPN,Kenji Ogiwara,1994,Nordic Combined,Gold
175433,URS,Valentina Vitalyevna Ogiyenko,1988,Volleyball,Gold
175434,EUN,Valentina Vitalyevna Ogiyenko,1992,Volleyball,Silver
175449,USA,"Charles S. ""Charlie"" Ogletree",2004,Sailing,Silver
175454,ITA,Giuseppe Ogna,1956,Cycling,Bronze
175455,ITA,Geminio Ognio,1948,Water Polo,Gold
175456,ITA,Geminio Ognio,1952,Water Polo,Bronze
175457,YUG,Tihomir Ognjanov,1952,Football,Silver
175460,SRB,Maja Ognjenovi,2016,Volleyball,Silver
175461,YUG,Mirjana Ognjenovi,1980,Handball,Silver
175462,YUG,Mirjana Ognjenovi,1984,Handball,Gold
175464,GBR,Anthony Osezua Ojo Ogogo,2012,Boxing,Bronze
175469,URS,Mikhail Pavlovich Ogonkov,1956,Football,Gold
175471,EUN,Aleksandr Vyacheslavovich Ogorodnikov,1992,Water Polo,Bronze
175492,NGR,Falilat Ogunkoya (-Osheku),1996,Athletics,Bronze
175493,NGR,Falilat Ogunkoya (-Osheku),1996,Athletics,Silver
175520,AUS,Kevin O'Halloran,1956,Swimming,Gold
175527,USA,Kelley Maureen O'Hara,2012,Football,Gold
175539,AUS,Jenna O'Hea,2012,Basketball,Bronze
175542,KOR,Oh Ha-Na,2012,Fencing,Bronze
175543,KOR,Oh Hye-Ri,2016,Taekwondo,Gold
175545,KOR,Oh Jin-Hyek,2012,Archery,Gold
175546,KOR,Oh Jin-Hyek,2012,Archery,Bronze
175548,KOR,Oh Seong-Ok,1992,Handball,Gold
175549,KOR,Oh Seong-Ok,1996,Handball,Silver
175551,KOR,Oh Seong-Ok,2004,Handball,Silver
175552,KOR,Oh Seong-Ok,2008,Handball,Bronze
175554,KOR,Oh Yeong-Ran,1996,Handball,Silver
175556,KOR,Oh Yeong-Ran,2004,Handball,Silver
175557,KOR,Oh Yeong-Ran,2008,Handball,Bronze
175602,SWE,Jens Erik hling,1984,Ice Hockey,Bronze
175603,SWE,Jens Erik hling,1988,Ice Hockey,Bronze
175611,SWE,Bertil Gustaf Emanuel Ohlson,1920,Athletics,Bronze
175612,SWE,Carl-Erik Ohlson,1952,Sailing,Bronze
175621,SWE,Per Erik Fabian Ohlsson,1920,Shooting,Bronze
175623,SWE,Per Erik Fabian Ohlsson,1920,Shooting,Silver
175633,SWE,Thomas Mikael Ohlsson,1984,Canoeing,Silver
175636,SWE,Kenneth Mattias hlund,2006,Ice Hockey,Gold
175654,USA,Apolo Anton Ohno,2002,Short Track Speed Skating,Silver
175655,USA,Apolo Anton Ohno,2002,Short Track Speed Skating,Gold
175657,USA,Apolo Anton Ohno,2006,Short Track Speed Skating,Gold
175658,USA,Apolo Anton Ohno,2006,Short Track Speed Skating,Bronze
175660,USA,Apolo Anton Ohno,2006,Short Track Speed Skating,Bronze
175662,USA,Apolo Anton Ohno,2010,Short Track Speed Skating,Bronze
175663,USA,Apolo Anton Ohno,2010,Short Track Speed Skating,Silver
175664,USA,Apolo Anton Ohno,2010,Short Track Speed Skating,Bronze
175666,JPN,Shinobu Ohno,2012,Football,Silver
175671,NED,Martine Ohr,1984,Hockey,Gold
175672,NED,Martine Ohr,1988,Hockey,Bronze
175676,SWE,Uno Sixten hrlund,1964,Ice Hockey,Silver
175692,JPN,Masashi Ohuchi,1964,Weightlifting,Bronze
175693,JPN,Masashi Ohuchi,1968,Weightlifting,Silver
175698,GBR,Christine Ijeoma Chika Ohuruogu,2008,Athletics,Gold
175700,GBR,Christine Ijeoma Chika Ohuruogu,2012,Athletics,Silver
175703,GBR,Christine Ijeoma Chika Ohuruogu,2016,Athletics,Bronze
175708,FIN,Kalevi Armas Oikarainen,1968,Cross Country Skiing,Bronze
175723,GRE,Katerina Oikonomopoulou,2004,Water Polo,Silver
175733,JPN,Sumie Oinuma,1968,Volleyball,Silver
175734,JPN,Sumie Oinuma,1972,Volleyball,Silver
175754,FIN,Yrj Antero Ojala,1936,Speed Skating,Bronze
175764,FIN,Janne Juhani Ojanen,1988,Ice Hockey,Silver
175765,FIN,Janne Juhani Ojanen,1994,Ice Hockey,Bronze
175767,FIN,Arvo Kalle Olavi Ojanper,1952,Canoeing,Bronze
175785,USA,"Octavio ""Augie"" Ojeda",1996,Baseball,Bronze
175818,GBR,"George Cornelius ""Con"" O'Kelly, Sr.",1908,Wrestling,Gold
175819,SWE,Emilie Louise O'Konor,2006,Ice Hockey,Silver
175834,JPN,Takanobu Okabe,1994,Ski Jumping,Silver
175836,JPN,Takanobu Okabe,1998,Ski Jumping,Gold
175846,JPN,Yukiaki Okabe,1964,Swimming,Bronze
175853,JPN,Hirotaka Okada,1992,Judo,Bronze
175862,USA,"Chukwuemeka Noubuisi ""Emeka"" Okafor",2004,Basketball,Bronze
175864,NGR,Blessing Okagbare (-Ighoteguonor),2008,Athletics,Bronze
175883,JPN,Mariko Okamoto (-Nakano),1972,Volleyball,Silver
175884,JPN,Mariko Okamoto (-Nakano),1976,Volleyball,Gold
175891,BRA,Tetsuo Okamoto,1952,Swimming,Bronze
175892,JPN,Yoriko Okamoto,2000,Taekwondo,Bronze
175898,JPN,Teruichi Okamura,1972,Gymnastics,Gold
